用户,是否看过,评分,评论时间,有用数,评论
西楼尘,看过,较差,2019-09-28 01:22:42,760,机舱仿佛被女儿施了平安的魔法，云层如同被上帝切了重生的裂缝。只有他们知道，平安从来不是靠魔法，而是日复一日的训练。重生并不能只靠上帝，还要有所敬畏的专业。当你相信没有错的时候，风挡玻璃却突然开裂。当错找上门的时候，除了讴歌和煽情，是不是可以多一点思辨，多一点追问，少一点自我陶醉。
不知道叫什么,看过,较差,2019-09-30 07:59:02,728,张涵予和袁泉演技不错，情节就很一般，还不如去看事件原型纪录片。
谢谢你们的鱼,看过,较差,2019-09-28 20:55:13,612,别说紧张感了，就连电影感都没有，大部分时间拍得就和室内小品一样，人物形象模糊、故事单薄、群戏松散、煽情刻意甚至连基本的叙事节奏都没有，大量无聊又尴尬的台词更是让整个观影过程让人感到煎熬。刘伟强一个摄影出身的导演居然连基本的视听语言都这么生疏了，本片别说和《萨利机长》比了，连《紧急迫降》都不如！
直,看过,还行,2019-09-30 02:17:56,384,少一些煽情会更好一些
章鱼,看过,还行,2019-09-29 00:26:32,311,中规中矩，好在摒弃了中国主旋律最容易犯的无逻辑尬吹，平庸在对于事件前和事件后的笔墨用了太多，而真正精彩的事故发生和处理过程草草带过。对乘客的刻画简直就趋近于零。
Luc,看过,推荐,2019-09-30 12:17:29,438,袁泉声音真好听～
Otomen,看过,还行,2019-09-28 20:24:45,266,2.5  观影神经是紧绷的，但是除去机组人员的优秀操作，你很难体会到更多。试图表达的情绪会稍显刻意，群戏支线太杂太无用，和萨利机长的差距太明显了  【空姐群戏也好过机长们】
月照沟渠,看过,较差,2019-09-29 09:00:21,534,"如果把这片子的体量压缩到《我和我的祖国》里一个短片的时间，我给五星。
拖拉且没内容，生硬拖时间，埋线没下文，两个小时没把人物立起来，除了徐克等少数人，香港导演拍主旋律真的不行。"
二月鸟语,看过,推荐,2019-09-28 22:39:50,332,平凡而伟大！即使知道结局也依然看得惊心动魄！而印象最深刻的其实是结局管理局高官巡视一遍面不改色的说：怎么这么牛啊，这句话其实就是片子的内核。本片其实和《萨利机长》是两部完全不同风格的作品，虽然都是还原那一天的真相，一部是对法律严谨度的拷问，而本片是对一份职业的敬畏，刘伟强从人性出发，在生死边缘徘徊的时刻，让你去经历真实和考验。制作在水准之上，情节铺排有序，表演松弛有度，袁泉不愧是舞台剧磨砺出来的，一个眼神足以盖过其他女性。唯一的遗憾在于对群像刻画过多而导致对机长的人物刻画少了很多维度，也可能是没看够。总之，应该去电影院向这群民航人致敬。
木卫二,看过,较差,2019-09-30 18:26:02,255,根据川航真实事件改编，香江快刀手刘伟强控场，机师帅、空乘靓，乘客各怀私心，地面坚守岗位，好像没什么大错误——但建议可以精剪一番，浓缩下与天斗的精华，替代文牧野在《我和我的祖国》的工作指标。而传说中，刘伟强牛掰上青云的手持去哪里了，只有机身在抖动嘛。细节上的处理，让空姐趴地上一群人喊”站起来”，让乘客暴起、推车冲撞，一堆人不停地比心点赞，真的很抖音很公益广告、抒情MV，难以理解。同样的奇怪细节处理，也发生在杜江身上，剧情需要他离开驾驶舱怎么顺便就四姑娘了起来，差点吸出窗全程补挂票的欧豪怎么落地后瞬间切换泡妞模式且被开除出乘客礼赞对象行列。
奥特曼和小怪兽,看过,较差,2019-09-28 21:37:15,142,一个真实事件愣给拍成个假的。剧本，镜头，表演，布景，灯光，CG，配乐都是灾难级的。本来抱着很大的期待，失望透顶。这片子的周期太短了，成片拼凑感极强。刘伟强拍建军大业中毒了吧，一堆明星出镜卖脸，制造不少废线。即使票房爆了，也是刘传建们的功劳。
降落伞,看过,还行,2019-09-29 01:05:15,126,属于合格完成任务的电影。但是故事本身值得歌颂和竖大拇指。
乌鸦火堂,看过,推荐,2019-09-26 20:25:49,91,刘伟强来还是适合这样的片子，从起飞筹备事无巨细的展现，相当有职业氛围，事件发生后空中与地面的紧张营造，摄影出身的气氛营造和节奏调度一气呵成，“敞篷飞机”紧张感十足。偏于写实风格，除了穿越云层等点到为止的艺术加工外，整体追求真实感，故事平铺、角色深度欠奉，关晓彤多余。电影把侧重点放在群像特写上，从机长、空乘、地面塔台、社会各界等多个角度，让观众全方位体会了这场世界民航史上的奇迹。PS，张涵予、袁泉真好，AB只是纯客串，李现不是酱油，戏份很重哦！
已注销,看过,较差,2019-09-30 04:00:13,140,水了太多内容，全员没有几个演技在线。
张日飞,看过,还行,2019-09-30 14:53:44,124,前半段很好，后半段强行加戏。发动机受损，雷暴天气，擦雪山飞过还没触发TAWS告警。可能后边实在没什么可讲的了，编剧只能强行加了。另外，空地对话语速实在是太慢了
胤祥,看过,还行,2019-10-01 15:30:28,38,对民航各种细节的展示构成的奇观感大概是本片唯一有趣的地方。以职人电影/行业电影入手，加上天然的灾难片和大部分的Real Time Film两个可供利用的路径，这么拍相当之稳妥也相当之乏味（更别提“爸爸回家了”这种恶俗的叙事了，再说对所谓乘客众生相的展示简直集恶俗之大成……）。这种真实事件改编题材固然有上限，但是自己把天花板设计得太低了就别怪别人了……
冰拿铁不加糖,看过,力荐,2019-09-30 08:44:06,179,有些客串的太尴尬了吧！！！为袁泉爆灯！！！爆烂一百个！！！
同志亦凡人中文站,看过,较差,2019-12-03 16:18:57,57,实名diss废物编剧，剧情不够新闻联播来凑，连正常对话也不会写。明明是一个比“萨利机长”凶险百倍的真实故事，结果尬得我想吐，唯一值得看的特效还是好莱坞代工的！所以，每个角色都过目即忘是怎么做到的？
粒粒酱,看过,较差,2019-09-30 23:28:55,117,职业的加持也没办法让我给这部片子打五分。多好的题材啊拍成这样？！强行中国式煽情+混乱的发展线削弱了故事的真实性，关晓彤干嘛来的？！等云裂？！原型机长同意这么拍？！完全没有想哭的冲动，甚至和飞行员相视笑出了声。就希望大众看了这部片子对灾难能有点畏惧感，调座椅靠背、打开遮光板这些最起码的安全规定能麻溜儿的做到，别特么让乘务员再费口了（今天飞到抖音红人，十分钟三个乘务员去劝了她五次才把座椅调直）
瓦力,看过,较差,2019-09-28 21:40:21,98,《中国机长》从角度选取上就输给《萨利机长》了，前者只展现灾难及化险为夷的过程，后者侧重事件对当事人影响及探讨制度与人性，因此没必要做更多不合适的比对。本片过度依赖特效、声效和镜头晃动营造紧张氛围填补故事层面的孱弱无趣，看上去很紧张刺激实则拖沓注水废戏超多，如果没有袁泉实力撑场估计只会更无聊。除技术层面有进步，还不如19年前同样改编自航空史上奇迹的《紧急迫降》。
嗷呜呜,看过,较差,2019-09-30 23:31:13,124,一星给真实事件，一星给袁泉。
阿朽,看过,较差,2019-09-27 20:23:44,117,烂片 前半小时后半小时都是尿点 不能压缩点吗 乘客群像完全没个人特色 各位空乘的脸我都分不出是谁  而且摄影谁弄的啊 就是各种晃 超级烂啊 特效别提了 上海堡垒同款水平  但最大问题还是剧本 不说人话 为袁泉挽尊加一星
隐,看过,力荐,2019-09-18 22:42:12,155,张涵予袁泉各顶半边天，刘伟强拿出了全部功力，一口气下来没泄气，节奏与情绪调动俱佳，紧张刺激，值得鼓掌。
神枪沙子龙,看过,还行,2019-09-28 19:51:18,111,邵兵成了张涵予，徐帆成了袁泉，黄奕池华琼们成了李沁张天爱，我却遗憾的发现，中国机长拍得还不如二十年前的紧急迫降。
