用户,是否看过,评分,评论时间,有用数,评论
以心,看过,还行,2019-09-16 02:04:36,36,完全没戳到我笑点 立意不错也有关怀 政治题材黑色幽默来说没什么出彩的 德牧这种破梗都能让观众嗨得不行 只能说迎合北美大众吧 #tiff19
南悠一,看过,推荐,2019-12-29 02:34:06,14,"2019年美国制造电影里最重要的一部。—— 命运是怎样地，在诗中一去永不复返。
它是怎样地，在诗中成为模糊的影象？
所有发生过的事物，总是先于我们的判断。
我们无从追赶，难以辨认。
不要胆怯，如果有死者与你擦肩而过。
同他们，平静地对视吧。
无数人的忧伤，使你与众不同。
我们目睹了，发生过的事物。
那些时代的豪言壮语，并非为我们所说出。
有何胜利可言？挺住就意味着一切。——里尔克"
真猪奶茶,看过,还行,2019-11-01 11:08:34,28,轻飘飘
亵渎电影,看过,还行,2020-02-05 00:39:09,17,说真的，漫威的主题乐园电影拍多了，这种游戏感十足的小品竟然也能拍出十足的主题乐园感，好在它的剧本确实很棒。小聪明有很多，也很招人喜欢，用儿童视角拍二战故事，小细节处理的也很童真有趣，但还是喜欢不来这种漫画感的拍法，视听上太糖水了，太甜腻了，还是更喜欢韦斯·安德森那种不耍小聪明实实在在的银幕手艺人，对比之后，我更喜欢《月升王国》了。
欢乐分裂,看过,还行,2020-02-07 17:30:27,16,以韦斯·安德森的方式包裹一个战争童话，过于刻意的奇幻化让这个原本悲伤的故事失于苍白。
故城,看过,还行,2019-12-29 17:50:46,17,可爱之处只有胡闹，外衣仍然是借用的。异想世界只存在于前二十分钟，如能一直胡闹下去才好，想想韦斯安德森如何开天辟地，这是庸作与大师的差距。
七迭香,看过,较差,2019-11-07 12:51:33,15,"second rate american porn 
最后一场戏尬极了"
乌鸦火堂,看过,推荐,2020-02-09 20:49:08,9,二战德国版的“月升王国”，纳粹少年眼中的战争，充满了童趣和无奈，他的世界温暖又残酷。虽然主题（打破隔阂的爱）和视角（儿童与成人世界）有些落俗，但贵在真诚有趣，幻想希魔、讽刺手法甚至影像构图都非常风格化，塔导牛逼。寡姐和山姆演得太好，他们每一次出场都是亮点
哪吒男,看过,还行,2019-12-30 00:22:18,16,最后半小时厉害，后劲很足，但是把如影随形的希特勒、摘不下来的红鞋都搬出来了，落脚还这么可爱软萌，不应该啊，完全可以拍得更深的！（好莱坞会演的小男孩太多了吧！！全都成精了吗
嘟嘟熊之父,看过,还行,2020-01-04 00:04:46,16,无处不在的冲突最富趣味：孩童视角与成人抉择、主动投身与被迫直面、梦幻臆想与压抑现实。剧作始终是小品式的散落温吞，试图在强烈的情绪爆发点撕开影像，却还是落入了泡影般的浪漫陷阱。也许是这个时代不再尖锐了，温柔的述说成为最广泛亦最安全的表达方式。
TimberNord,看过,推荐,2020-01-07 01:36:49,17,哎妈呀那个胖子小男孩太可爱了，那个just between you and me 然后对日本的评价我喷了
方枪枪,看过,推荐,2020-01-01 22:08:48,13,独特反差叙事，用喜剧来包裹悲剧，以儿童的视角展开对纳粹的反思，喜剧的壳，悲剧的核。小演员真的是选的灵，母亲与k的配角，也恰到好处好处。
西帕克,看过,2020-01-08 12:20:49, ,16,1945年加入纳粹，真不是好时候。
徐若风,看过,还行,2020-02-08 19:33:53,8,拿讽刺喜剧拍战争片（或一切苦难）本质是一种“以毒攻毒”，然而这部电影不太能成立的地方在于，它是“以奶片攻毒”，打各种安全牌，一直处在不痛不痒被反噬的边缘，过于轻巧了。剧情在“搜家”前一直在同温层打转，之后又迅速跨越到下一个同温层，拿温情做最后一击。不过视觉上的确做得“好看”（字面义）、节奏流畅，算是合格的一出商业喜剧。寡姐今年的确值得双奥提。
seabisuit,看过,还行,2019-11-15 10:55:54,9,与《隐秘的生活》一样有福斯25周年获奖提名影片的片头混剪，二战题材正片开始都有真实新闻影像，片尾里尔克的诗词作结。导演维迪提亲自饰演的幽灵希特勒有些双刃剑，沉重的背景下加入一贯的脱线戏虐恶搞的风格反倒有种快餐套路化的味道。前大半部分都很尴尬无聊幼稚，好在后段纳粹终结和战场煽情戏码一上挽回许多，可惜没有维持那个《再见列宁》式的谎言。斯佳丽和洛克威尔的表演也是在哄小孩的感觉，小演员到是十分的出色，有种被洗脑后执着的成熟劲儿。#金马56#
寒枝雀静,看过,还行,2020-01-14 20:17:59,7,D＋/ 影片似乎有着力塑造不同年龄、种族及政治立场的视角，先构造差异再深入辨析也是良性的切入方式。但为何人物的各个情感转折都是如此顺畅？为何童颜的孩子口中说出来的话比大人还自洽还深明大义？为何所谓“人性”的转折时刻总是恰如其分地到来？归根结底，因为站在不同正面人物背后的都是同样一套最自然最可理解的逻辑（而反面人物无需被深入刻画理解）。可是这一套“理所应当”的逻辑要如何与纳粹的那一套当时同样理所应当的“事实”对抗呢？说“纳粹也是人”很不容易，但更需要尝试解答他们怎么变成纳粹啊？创作者除了童话式地远观几乎没有触碰的办法，或许更专注于儿童视角反而能捕捉到更多东西。
室内滂沱,看过,力荐,2019-12-30 20:43:52,11,无论故事里都发生了什么，全片最触动人心的时刻是最后乔乔又骗了小姐姐一次，这个疯狂的剧情是怎么一路推演到这里的，前面给了那么多积垫，最终让人在情感上一下爆发，如何把一个夸张离奇的故事说通成这样，这片是最典范了。前面一个多小时是怀蒂蒂导演最擅长拍的playground，后半小时在惊愕的心情下看完，肚子里装满了苦涩的蝴蝶。今年最好的关于亲情的影片，虽然到处都是怀蒂蒂最典型的色彩亮丽的插科打诨，笑点并不算每一处都高超，而且从对抗到和解也挺好莱坞套路的，但绝对不影响观众吞咽后半小时的每一滴泪水。导演亲自上阵陪伴小主人公，是有点自恋的。片头披头士片尾Bowie，原声够豪华。一部在纯纯粹粹的主流语境里找到突破点的电影，完全跟言论禁区、ZZZQ顶着来并制造笑果，戏谑种族主义的劲头不亚于乔丹·皮尔，商业模式和文化潮流造英雄。
马赛克,看过,推荐,2019-12-30 22:33:38,8,K队长这个角色真的太巧妙了，悲剧内核的喜剧人物，让电影多了不止一丝的童话色彩，他才是真正的成年人，将一切面向小男孩的残酷都阻挡开来，这就是麦田守望者式的人物吧？最后的hero响起来的时候，我也不由自主的跟着跳舞了...
艾晨,看过,推荐,2020-02-04 22:48:52,14,心中人，墙里人，只因不是自由人；滑稽事，欢乐事，结果全是伤心事。
汪金卫,看过,力荐,2019-12-17 23:47:58,12,【澳门国际影展开幕片】先是用妙趣横生的喜剧、荒唐不经的戏谑与天马行空的幻想让观众放松警惕开怀大笑，进入到纳粹帝国儿童的天真臆想世界中。再猛然用残酷的转折将小男孩与观众拉回血与仇、生与死的战争地狱，催泪效果极佳。山姆·洛克威尔和寡姐的表演拿捏精准到位。再加上导演本人出马、代替父权的希特勒恶搞形象，这三个角色与小男孩凑在一起，既有《无耻混蛋》的荒诞黑色、《美丽人生》的亲情温暖，也有对告密洗脑的讽刺揭露、对正义反战的深情歌颂。并非完美神作，但也是极佳的商业制作。四星半
Peter Cat,看过,还行,2020-02-18 05:38:35,5,其实和达内《阿迈德》分享了同一个意识形态两极的硬设定前提。当然本片挺赤裸裸地消费了历史，又企图轻盈的全身而退，到头来只是一道无关痛痒甜点。只是对所有关乎人类苦难史的电影做道德化、历史语境化批评和进入姿态，或许本身就预设了一种历史的双重无能。毕竟达内失效的作者化运动，也并没有贡献比本片更多东西。历史从来都只是一些创作者的垫脚石罢了。
水脉,看过,较差,2019-12-30 07:11:54,13,做作的天真
