用户,是否看过,评分,评论时间,有用数,评论
赘冕,看过,较差,2020-02-23 11:59:33,0,"5，
给个及格分吧，没什么亮点，除了旅馆里镜子的使用。结局也太过仓促了吧。
角色之间cp感也不够浓，两个演员也没太放开，过于拘谨了。"
大清国的乌托邦,看过,较差,2020-02-25 20:54:53,1,好尴尬的剧情
崔始源,看过,还行,2020-03-06 23:38:55,0,进行中的故事最迷人，谁知道结婚了之后爱意还能走多远，我还是更愿意相信爱久生情，朋友间相爱其实很美好，竟然还想到了我的彩礼是否能收回来。
鱼鱼俞渝,看过,还行,2020-02-27 00:01:30,0,哈哈哈哈哈哈哈LGBT版当哈利遇见萨莉
打少,看过,较差,2020-03-01 14:25:36,0,停留在二十年前的编剧水准
reneryu,看过,推荐,2020-03-01 22:40:26,0,trivial but I'm like that...
Seika🌿,看过,推荐,2020-02-27 14:33:58,0,bgm撑片典范。剧里支线心灰意冷来看下电影没想到竟然又get到了好看的点（捂脸）pan不pan这个事情等于不存在啊说bi也没问题。最后十分钟就俗了啊完全没有可看性了。嫌弃一下选景 在人家婚礼上告白周遭人群都继续正常社交 你们那么大声半天不走位 换我早就捧着酒杯围观起来了（X）//十几年前可能会觉得这什么社会渣滓都应该扔去垃圾桶unfo得好 现在心态怎么那么平愿打愿挨就不要叫了 上限五个甜甜圈两顿火锅都能解决。
长歌,看过,推荐,2020-02-29 03:34:50,1,就是情人节剧啊，无脑甜就好了
love_is love,看过,力荐,2020-02-25 19:02:08,1,如果爱，请勇敢说出来；如果爱，请大胆去追
鸿禧,看过,较差,2020-02-28 20:46:57,0,好久没看过这么造作的美国片子了，剧本烂得不行，演得也假，别搞这些有的没的幺蛾子直接做爱会精彩得多靴靴。还有这中文名翻成这样真的大丈夫吗？
eternalmummy,看过,还行,2020-02-25 14:24:00,2,怎么感觉哈利很不可靠的样纸2333
Half of Daniel,看过,很差,2020-02-26 03:47:49,0,？？？？？？？？？？？？？本来深夜心情不好想找个甜甜的片子来看，结果他妈了个逼看这种东西，无语
西西里的朗读者,看过,还行,2020-02-25 21:39:32,0,"全是套路
129"
旺仔小王子,看过,很差,2020-02-24 21:38:00,1,……?低劣无聊
Toma,看过,推荐,2020-02-27 04:18:30,0,甜就够了，剧情倒是其次。Harry真的太可了！
杨方方🌈,看过,还行,2020-02-29 23:22:18,1,"感情线:？？？？？？颜和肉：！！！！！喜提出柜花栗鼠。"
Tuttie,看过,还行,2020-02-29 15:07:07,0,晋江耽美已经攻陷好莱坞了吗？！虽然玩的还是小妞电影那一套，但看到这么甜到齁剧情，还是露出了姨母般的蜜汁微笑。好莱坞，请继续。
fish-water,看过,还行,2020-02-25 21:40:47,0,是在情人节那天上映的，所以肯定是个小甜饼，有趣的是它有纽约这类电影（如“小妞电影”）的气质，甚至会让人想到伍迪艾伦（当然了，两种差距巨大），但这种轻松、幽默和让人舒服的小品还是挺有趣的，尤其男主有些神经质的感觉，似乎很伍迪艾伦（再次强调，两者有差距）；里面说朋友是否能变成情侣，有段经典对白：“一个晚上我失去他两次，一次是失去了男友，一次是失去了最好的朋友”，这段话其实也挺有道理。另，另一男主长得真好看；男生穿粉色要上天；又另，导演竟然是QAF里的艾美特，时间过的好快啊！
S.H.I.E.L.D,看过,推荐,2020-02-24 18:24:41,2,"我他妈看到卡拉莫立马出戏好吗哈哈哈哈哈这电影太会选歌了，从一开始的戳爷到最后萌德，每首歌都太好听了😭😭😭加一星😭😭😭"
