用户,是否看过,评分,评论时间,有用数,评论
水蜜桃汽水,看过,还行,2020-02-29 23:49:23,0,三星半，挺好看的，恶搞型鬼片，非常搞笑。
夏晚卿,看过,推荐,2020-02-28 20:22:06,1,特别的爱给特别的你。
魔力水族,看过,还行,2020-02-29 14:50:31,0,有尴尬有乐趣
觉 溺,看过,还行,2020-03-10 21:24:54,0,有点尬
SundanceKid🌈,看过,推荐,2020-02-25 14:19:16,1,平凡的细节充满了想象，Barry Ward演的爹很辣
乖沙皮,看过,较差,2020-02-29 18:07:09,0,20200229 不好看，真的不好看！
CathShero,看过,还行,2020-03-08 14:57:43,0,3.5 认错处女梗虽然已经被玩烂了但每当出现的时候还是很搞笑
林文清,看过,推荐,2019-10-12 22:35:43,0,"Light-hearted exorcism film laced with a quirky sense of humour. A bit predictable, but that's fine; we are not expecting anything great or never-seen-before here. You can always tell if a filmmaker has really put his heart into making the film, and for this one, I can say they have. #Mayhem2019"
托腮,看过,力荐,2020-02-25 14:15:30,1,今年第一部认认真真的极其可爱的喜剧片，通灵+附身+古堡邪教祭祀点外卖哈哈
风中李子树,看过,推荐,2019-11-10 01:32:35,1,太逗了这“恐怖片”，这口音，这逗逼剧情，还有这b级调调的人体爆炸，男主公婆切换笑喷，在爱尔兰当个鬼也太尴尬了……
我狗比我美百倍,看过,还行,2020-03-06 01:01:05,0,一般般。哪里恐怖了。一点血都没有。
悟饭婆婆,看过,还行,2020-03-05 21:16:32,0,如果我回到十四岁的话应该会爱死这部影片，笑点还挺多的。
燚见,看过,还行,2020-03-02 12:22:08,0,没想到这个年代还能看到如此接地气儿的港式喜剧，很无厘头，也很低成本，笑笑得了，要啥自行车。
Mura,看过,还行,2020-02-24 20:39:20,0,就喜欢看这种神神叨叨的电影，只是这部电影还不够神神叨叨，男主演技不错，也够难为了。。。
橱窗外的大怪兽,看过,还行,2020-02-27 18:32:32,0,不喜欢
linkeroever,看过,推荐,2020-02-25 12:12:07,1,奇思妙想又逗
SingleShayne,看过,还行,2020-02-25 14:46:15,0,chill and ok
kido🖖🏻,看过,推荐,2020-02-26 18:43:46,1,哈哈哈哈哈请把类型里的“恐怖”标签去掉，谢谢
zoe,看过,还行,2020-03-09 11:24:52,0,轻松的鬼片，有很多料足的笑料。男主的演技还是不错的，在男主和妻子鬼魂的角色之间游刃有余。
Iron,看过,推荐,2020-02-28 00:43:29,1,黑色幽默，值得一看，有些部分很出彩，总体比较普通
rele,看过,推荐,2020-02-26 22:56:09,1,搞笑版招魂，神经版捉鬼敢死队，逗逼版鬼魅浮生。全程布满冷不丁的笑点，最后集各种drama于一体的大型闹剧现场太好笑了。
Eros,看过,还行,2020-03-01 14:43:57,0,古怪的笑点。
cllee&Kalinda,看过,推荐,2020-02-24 17:44:57,1,太可爱了 结局打boss处笑疯
孬爷爷,看过,还行,2020-02-29 13:09:02,0,哈哈哈还行
myhardcandy,看过,力荐,2020-03-04 00:23:59,0,太喜欢了！我冷静冷静先
仙寿恒昌,看过,较差,2020-03-10 20:28:14,0,5
鱼山夜谈,看过,还行,2019-11-13 19:57:20,0,7分，欢乐屎尿屁的观感，话痨加小重口；EN字幕等了一个星期
麻非,看过,推荐,2020-03-09 20:14:54,0,男主角是《真相捕捉》里的男律师查理！！他好可爱啊我的天，甜甜的！！！
物非,看过,推荐,2020-02-26 03:57:50,0,俏皮电影，很可爱
Nora养的白鸽,看过,推荐,2020-03-08 20:47:50,0,有意思
臼石晃途,看过,推荐,2020-02-24 19:05:03,0,“Only the tip went in” 最佳笑点
木·子鱼,看过,推荐,2020-02-29 14:49:42,0,居然还挺欢乐
