用户,是否看过,评分,评论时间,有用数,评论
小枫,看过,还行,2020-01-01 01:44:11,5,导演稚嫩的MV手法一点也驾驭不了这本子，要不是部分演员强撑，直接两星以下了。各种矫情大喊，张口梦想闭口北京，感觉像是二十年前韩剧+日剧混合出来的风格。两个女主之间没有人物的连结，只有经历的相似，这种剧本刻画太表面了，细节完全无，最后纯粹拍脑袋强行反转。笑点还是有，至少全场大笑了N次，但真的不像电影，学生习作吧。p.s.针对影评里某些人吹白姐的演技一如既往地优秀，转而疯狂踩妹妹的迷惑行为，明眼人都看得出来，白姐现在连小妞电影都演不了咯。
飞鱼噗噗,看过,较差,2019-12-28 23:53:07,18,看了这个片就是学习如何不要像这个编剧一样写出狗血的剧情和极不合格的戏，基本没有一场戏是在合格线上的。。。所有的桥段全凭意淫和捏造，台词狗血到连电视剧都不如。。。演员们的演技拯救了片子，辛苦他们了！
Mr. Infamous,看过,较差,2020-01-02 23:25:41,4,我呆@好好地 吐槽“合生汇对面啥小区两居室次卧两千还有那么大客厅啊？”于是我今天机缘巧合地来了合生汇看。前面觉得白百何抢白张子枫还有点意思，生活嘛，戳破也有揶揄的乐子。但越来越怪味，张子枫穿了鸡装（btw好萌好暖我也想穿）总要打鸣我也忍了，年纪还小嘛，但最后那个反转真是，吓人！怎么就集体抽风了？喊什么呀！！！啊啊啊啊啊！！！！！
VeryGZ,看过,较差,2019-12-31 23:19:24,9,白百何张子枫值得一个更好的剧本。@保利望京
河狸,看过,还行,2019-12-31 17:13:27,7,不负责任的励志等于害人，梦想不一定都会变成现实，看看就好，千万别当真。
秃头少女不加班,看过,较差,2020-01-03 20:09:00,7,说实话，我觉得过于矫情了，我的职场生活可不是这样的
老罗Lazzaro,看过,还行,2020-02-13 01:42:50,0,想引起共鸣的是北漂人或是女性的艰辛与不易，表现得很外化，夹带不少鸡汤。不过白演出了真切的困境受挫与不服输感，与过去自己“共处一室”与尾处不同心境下对比对白，这些设计还是加分的。
天边最美的云彩,看过,较差,2020-01-01 22:28:50,8,气的我看完了一天还是要打2星来骂！在突然意识到这俩姑娘是一个人的时候突然能够瞬间理解为啥能一直憨批到32岁还执迷不返。把在北漂的奔波梦想具化为天台溜门撬锁的大喊大叫，是有多悬浮多没生活啊。特狗血的爱情桥段，特烂。白瞎了演员，最好的一段就是妈妈的演技，薛甄珠女士可以的！
灌水机,看过,较差,2019-12-31 10:30:48,24,北漂就是下雪时在楼顶对着合生汇大喊2分钟“北京！！我不会输！！！我会努力！！！我要好好生活！！！”？？？什么臭矫情毛病。
眠歌,看过,较差,2020-01-02 21:43:31,5,"丁丁张的编剧之路刚开始就结束了吧，这剧本对不起演员对不起观众。
白百合真是个宝啊，演这种大龄女青年自然接地气毫不费力；
ps，看来暴打前男友是个刚需"
Jackson,看过,较差,2019-12-31 15:18:54,22,白百何还是一如既往细腻，演技还是很稳。张子枫除了大吼大叫还能干啥，好感全败完了。魏大勋是什么玩意儿？？？ 最后是在比谁的声音大吗？？？ 就如白百何说的，没有理由的喜欢，就只是喜欢罢了。这部电影我不喜欢
