用户,是否看过,评分,评论时间,有用数,评论
刮爷很开薰,看过,2020-03-02 17:16:08, ,0,来看女神们 女神们好可爱
阿五,看过,还行,2020-02-24 10:23:55,0,感觉还是少了点什么，没有解决问题只是给了一个强行圆满的结局，不过能在一部电影看到天海佑希满岛光室毅也很难得
木·子鱼,看过,还行,2020-02-24 19:14:51,0,我也想要个超有钱的朋友
魔力水族,看过,还行,2020-02-24 19:22:39,0,跟原版感觉完全不一样啊
猫久禧,看过,还行,2020-02-29 20:43:43,0,一开始觉得小百合的家庭主妇实在太憋屈心酸一度不想看，幸好环球旅行的部分来得特别快（土豪我们做朋友！），结婚的场景也并没有让我特别感动，反倒是最后，写有两位名字的火箭成功发射，完成最后一个心愿，室毅拿着火箭模型给在天堂的两位做应援的样子让我落泪了
shun,看过,还行,2020-02-23 16:20:41,0,拍得很地道，不过呆长的时常和缩短的经历让人难以入戏。
吃电影的番茄,看过,推荐,2020-02-25 02:17:08,0,美妙的人生童话，日本翻拍改动很大！
你好。,看过,推荐,2020-02-28 23:24:05,0,"我真的很久没看日本电影了....
卡司真的惊喜刚好最近想看天海祐希和满岛光。
不过还是过于理想了....顺便有钱人真好。"
Nothing,看过,还行,2020-03-05 20:15:34,0,造型师差评，两个人的头发怎么看怎么奇怪
孟三哥,看过,还行,2020-02-24 15:51:15,0,看了开头猜到结尾，两女主都行无奈剧情老梗没有发挥
柳三行,看过,还行,2020-02-23 15:07:05,0,肯定是没原版的好，不过本土化的女性视角不卑不亢，对比一些过激盲目政治正确的想法，更实事求是，结尾相遇那段，加分。
santawhale,看过,2020-02-23 15:33:38, ,0,室毅你的应援为什么这么熟练啊
乖沙皮,看过,还行,2020-02-25 20:39:28,0,20200225 主要告诉我们还是要有有钱朋友，不然还是等死比较实际！
Eros,看过,还行,2020-02-23 13:09:49,0,虽然很温吞，但又有一种莫名其妙的燃。
时过境迁之后。,看过,还行,2020-02-27 21:35:25,0,"不好看。天海佑希女王和父亲的那一段+1分。"
梦工厂大爷,看过,还行,2020-02-29 16:08:34,0,桃草也太尬了
柴犬妹妹,看过,还行,2020-03-07 23:44:35,0,看的时候并不知道是翻拍，完全是因为是女王粉。这个故事太阴错阳差又朴实的感人了。非常完整的日式改编。
眼镜喵帕斯,看过,推荐,2020-02-23 22:01:52,0,很感人的一部电影，也是一部典型的日式电影，虽然是翻拍。对于亲子关系和夫妻关系的表现延续着典型的日系温情，看过之后暖暖的。家庭主妇幸枝罹患癌症想要完成人生的遗愿清单光靠她自己的力量可能很多事情就完不成了，于是安排了土豪女社长，两人借助社长的财力和幸枝对生活的柔韧度最终在临终前与自己、家人以及自己的人生和解。
西北化为乌有,看过,还行,2020-02-23 18:42:00,0,看过《遗愿清单》《漫长的告别》这类鸡汤内核、社会表达浅尝辄止的作品，才明白是枝裕和有多重要。
沙漠中的西蒙,看过,较差,2020-03-07 01:14:14,0,日本女版的遗愿清单，拍的太日本式的克制了。
Adelle's Blue,看过,推荐,2020-02-24 00:06:02,0,"相敬如宾 热爱生活 收获幸福 飞向太空
导演对美版《遗愿清单》作了日本本土化的处理，使得故事情节更加丰富生动，在最后的时刻让影片回归到人生与家庭关系的问题上来，除了影片结尾处那个“死去”的小女孩的出现属于画蛇添足之外，很完美了。"
TAKUMiii,看过,推荐,2020-02-23 02:17:46,0,"我的天两位女神闪瞎我金坷垃……
原来连死亡有人分享都可以更幸福一点

（话说室毅才是主角吧哈哈哈哈哈哈哈哈哈"
SaoirSe,看过,较差,2020-02-24 13:44:40,0,つまらない
隐姓埋名-cat,看过,推荐,2020-02-28 01:12:37,0,翻拍还是很日式的，虽然海锅的光芒挡不住，不过75岁的吉永小百合演的是真的很好啊，儿子房门口那场戏都看哭了。形象也很适合这个做了一辈子家庭主妇的角色。总之人生还是要该吃吃该喝喝，珍惜当下，热爱生活才是正道啊～毕竟老了后能认识海锅这样的富婆概率太低了哈哈哈
晨曦,看过,很差,2020-02-29 23:05:29,0,故事就是死前碰到一个土豪朋友带着玩，最后还留了一大笔遗产，没看到有什么可讨论和感悟的
琥珀,看过,还行,2020-03-08 17:30:41,0,不太行，憋屈平淡还有点强行煽情，跟原版相比还是差了挺多的，但是天海女王还是好看的...
皮皮鲁西西,看过,力荐,2020-03-10 17:40:41,0,吉永小百合演技炸裂，女王也不差，又催泪又治愈，PS有钱真的可以无所欲为，哪怕是生命最后阶段，也能活出不一样的精彩
yeahScarlett,看过,还行,2020-03-03 10:23:46,1,百合阿姨眼睛瞪得我害怕
janes,看过,还行,2020-02-27 20:02:28,0,做了本土化的改编，遗愿清单的产生契机有点尴尬，略有点平淡无聊。天海佑希还是美的，七十多岁的吉永小百合更是美的。
薄暮,看过,还行,2020-02-25 17:57:46,0,平庸的翻拍。浪费了二位大物女优。
节能君,看过,还行,2020-02-23 11:38:25,0,有珠玉在前，日版显得矫情做作了些
献齐,看过,2020-02-24 00:51:19, ,0,20200223周日晚 珠玉在前吧，本土化也不错，但是好像清单的东西没有放开。
西西里的朗读者,看过,还行,2020-02-27 11:24:29,0,"日本版遗愿清单
132"
XY㍿,看过,还行,2020-02-29 15:18:09,0,死者乃为生者开眼，未来心不可得。
阿呆cd3749,看过,还行,2020-02-25 10:31:24,0,彩票就是智商税
新世纪腐淫战士,看过,力荐,2020-02-24 21:28:01,0,我还是坚信每个人的命运里都有所谓「契机」一刻，忽然唰的一下，眼前一亮，看懂了自己是谁、正在做什么和未来想要实现的愿望。如果这份契机，不是在你接到病危通知书时才遇到，而是你淋浴时、做梦时、过红绿灯时遇到，那就最好不过了吧。其实与其把这部叫做日本版「遗愿清单」，更希望能按照原版日文名译成「找到最棒人生的方法」。这个方法，就是把下一次的经历当作人生的最后一次，不留遗憾地去体会、去挥洒它，再画一个肯定自己的对号。死都不怕，还怕更洒脱地活着吗？
Kazaf,看过,推荐,2020-02-25 14:25:57,0,冲着吉永小百合和我大天海看的，结果被室毅圈粉。故事很老套，但是看着小百合和天海各种换装美美美、全世界美景玩不停就是很开心。一度以为室毅会接盘光妹呢……
穿衬衫的袋鼠,看过,还行,2020-03-01 11:27:58,0,"7.0/10
日式太过平淡，还是推荐原版，放飞自我的同时不乏家庭温情"
Cèdre,看过,较差,2020-02-26 16:35:35,0,生命尽头遇见又美又强的富婆之我不想努力了
AMILY,看过,推荐,2020-02-24 16:23:29,0,两位女演员演技太赞了
张敬轩,看过,推荐,2020-02-23 23:18:00,0,20/100。在最后高田帮mago和maki打call，爸爸帮她们画完最后的一个愿望时候爆哭了。
倒带,看过,还行,2020-02-25 13:14:07,0,记录想做的事在临死前系数完成，所有家人朋友转性配合，甚至连宇宙升空这种匪夷所思也能做到，因太过理想化而不可信而无动情。天海佑希不化妆或者淡妆真实的显老。
海芋,看过,较差,2020-03-06 20:17:03,0,翻拍的一般般，
ogre,看过,推荐,2020-02-23 18:59:42,0,1 美版的潇洒狂放，日翻版更细腻温馨，故事改动很大，各有千秋，更喜欢日版；2 吉永小百合宝刀不老，魅力不消；3 向死而生，更能明白生的价值，有愿望的人是幸福的。电影不错，值得推荐。
Abbott,看过,还行,2020-02-28 22:17:49,0,前几日在B站看完原版，现在又来日版
sophia,看过,还行,2020-03-10 10:42:03,0,虽然有价值的人生目标大致相同，但去遵从别人的清单，去完成，未免有些……
一_一0,看过,还行,2020-03-02 12:08:50,0,sorry，Not a winner
yupei,看过,较差,2020-02-29 23:10:48,0,改完之后主旨就挺无聊了，无外乎和解亲情什么的老生常谈，而且和解得异常容易。天海那个角色好功能性，原电影起码还有点真正意义的成长，这版的成长居然是后悔自己太好强忽视了平凡的生活？？重男轻女的观念贯彻始终，也是很日本（东亚三国）特色了。
光影流年,看过,还行,2020-02-26 21:48:49,0,翻拍片，日式味，奔着两女王来的，美女加风光加日式煽情。吐槽点：日本人对太空迷之奥特曼情节。
下弦月,看过,推荐,2020-02-26 18:04:06,0,"有的地方比老美的接地气了很多哦～
当然更多的地方飞了哈哈哈哈哈"
Vine,看过,推荐,2019-11-10 23:15:04,2,生死议题，快乐地实现生之愿望去迎接死亡：1.冒险：高空跳伞 2.旅行：去埃及 3.爱豆：应援爱豆演唱会 4. 和解：与家人、朋友和解，斩断非必要的世俗联系 5.感情：对喜欢的人表达出喜欢 6.美好：再穿上一次婚纱，举办一场婚礼 7.金持：宇宙旅行；虽然商业能看风景也超可爱，京都枫叶和服美哭，宁静的长崎也让人喜欢。室毅太有趣了，海锅帅瞎（尤其是和服睡衣装简直了），老了也要像吉永小百合一样气质优雅，光妹赛高！！（耳环是真的好看，出场6次变装6次还怀孕生娃了ww @冲绳那霸CinemaQ 感谢指路的小姐姐～
Phoenix Queen,看过,还行,2020-03-08 15:07:46,0,女人啊，请不要在临死的时候才想到要为自己活一次，太晚了
WildestDream,看过,还行,2020-02-23 14:16:00,0,3.5 温暖的治愈系 ，论遇到一个土豪朋友的重要性
海拉鲁小当家,看过,还行,2020-03-09 20:11:34,0,片子整体感觉不太爽快 不如美版洒脱 也可能是亚洲祖传吧
Herring,看过,还行,2020-03-02 23:27:49,0,啊 老套到不会感动了 如果得癌症能遇见有钱人愿意和我一起在生命最后花钱实现梦想 我的癌症也可以啊 反正死亡也不是什么可怕的事情 这样死比平淡的活着好多了吧/ 三星给女王和光妹 光妹真是意外惊喜_(:з」∠)_
迷失在重慶森林,看过,力荐,2020-02-26 17:06:03,0,日本人总是特别特别暖 弄半天 完成的是撞自己两回的没礼貌小孩儿留下来的清单 话说回来 也只有穷人才会拥有遗愿清单 印象里原版也是穷的那个写的清单。。。女王永远只有一个！非天海莫属！
Veni,看过,还行,2020-03-06 21:05:04,0,女主角闪闪发亮
