用户,是否看过,评分,评论时间,有用数,评论
张咏轩Wayne®,看过,较差,2020-02-10 21:57:27,3,小罗伯特唐尼卸任铁人后的第一个项目，结果重金砸下，幼齿无比，整部电影不需要带脑子看，动物园的狂欢会，群魔大乱舞，始终营造出一派炸了锅的和谐景象，通篇80%都在绿幕前拍摄，虽然特效精湛，但马脚时时袒露，这种千篇一律的故事也焕发不出什么新鲜的印象，角色也无厚度和出彩可言，相较迪士尼对奇幻类型的把控和塑造，环球影业就是班门弄斧的小丑，一顿狂轰乱炸的节奏和台词，结果没有任何涟漪能留给观众，可惜了参与这个项目的神仙阵容，好在这流水线的作品，在步调和时长上还算良心，90分钟不到就能得到解放，算是给出很大的诚意，另外，也不能笼统的说这电影有多烂，处处透露着平庸和无趣罢了，北美票房和口碑双扑街也就不意外了，铁人以后接本子还需慎重啊。★★☆
dreamboat,看过,还行,2020-03-10 19:59:33,0,小孩首选
Diva Tequila,看过,还行,2020-02-15 14:42:55,0,就是一部适合院线正常片子
柯里昂,看过,较差,2020-02-08 19:13:33,1,瞧了眼成本，我是不太信的…
这个女人,看过,推荐,2020-03-01 13:34:21,0,这个配音阵容 多一星 适合打发时间 轻松观影
hungry,看过,很差,2020-01-29 10:02:33,1,很低幼向，剧情推动的人物行为都非常非常幼稚*!%*
百无一用发小春,看过,推荐,2020-02-16 05:02:55,0,小时候真的是太爱看怪医杜立德了
過客,看过,还行,2020-01-24 16:56:46,0,高成本兒童片。
Mo,看过,还行,2020-02-15 14:13:49,0,"还以为是钢铁侠与蜘蛛侠的平行空间，原来只是配音~
白熊形象想起了黄金罗盘里的那只~以及啤酒🍺广告那只~haha…"
梦行30,看过,较差,2020-02-15 17:25:15,1,没啥意思，特效不错。
gtxyxyz,看过,还行,2020-02-24 14:32:01,0,吵吵闹闹的，很套路。
大罗,看过,推荐,2020-02-15 16:26:29,0,被低估的一部电影：在荒唐与魔幻外衣下的是对重度伤害和挫败的疗愈…
jaymi,看过,较差,2020-02-15 23:42:27,1,剪辑不行，配音配乐不行
桃梅子汽水,看过,力荐,2020-01-14 20:33:23,3,我的小萝卜～在韩国看完了～他的演技是行云流水～准备在韩国二刷，国内过完年上映我再去三刷一下～
