用户,是否看过,评分,评论时间,有用数,评论
晚不安,看过,较差,2019-09-30 23:13:24,11,三面间谍、双面情人，年度最扯淡特工片。《超体》至少还能让人WTF一下，两小时的《安娜》就真是庸俗不堪了。吕克·贝松已经沦落到拍这种不入流的行活，还把自己整得特别像一个女性主义导演。让模特女杀手思考人生的意义，却把自我挣扎拍得如此塑料、廉价。用起闪回的叙事诡计也是不顾基本法，跟不要钱的大白菜似的。倒是把故事逻辑都接上了，但是不经过精心设计的反转，在观众眼里就是另一种形式的偷懒。这么说来，还是你爱狗的基努大爷给力啊。
Ricky925,看过,还行,2019-09-11 22:23:58,19,吕克贝松对女特务的极致幻想，政治爱情我都不要，我只要自由
乌鸦火堂,看过,推荐,2019-10-04 18:31:41,5,3星电影+1星情怀，吕克贝松电影精华+致敬前妻。几乎是《尼基塔》的翻版，但没有后者的温情悲凉，单纯走商业爽片路线。御姐动作电影，老吕可是创始人，最明白怎么能拍得好看，但有些吃老本，交叉闪回叙事更是毫无卵用的炫技。结尾戴帽子名场面致敬《这个杀手不太冷》，女主角长得很像前妻米拉乔沃维奇，角色用的是前前妻的名字，老吕偏爱这口。虽是老调重弹，但趣味性还是有的，男人都是大猪蹄子
街坊饿霸,看过,较差,2019-09-21 00:11:52,10,如果这是一部AV 我给满分
请叫我腹黑,看过,还行,2019-09-15 22:17:58,15,虽有数不尽的bug，道不完的老梗。但谁叫就爱这种冷面孔大长腿配置，动作戏还是非常爽的。毕竟身材真的甩大表姐好几条gai，老吕diss《红雀》很到位了。
程育海,看过,较差,2019-09-25 00:41:02,3,比起导演能力毫无进步而言，更可怕的是一切“省力至上”原则指引下的全部，导演自己没当回事，观众也对本片没有太多期待，原始满足够了就行，美人揍人，够美足矣，足则足矣，只是忍不住叹息，吕克贝松一如那些赞美过的香港导演，江河日下靠制作把戏度过职业生涯后半段，“可喜可贺”。不是他们老了，是俺们过去太年轻，太容易喜欢上一个人。
Bryan·M,看过,较差,2019-09-14 18:57:43,5,就不能老老实实拍部动作片就算了？非的用个不过关剧本拉个谍战片的架势出来。想看爽片你得先熬过前面不知所谓的前戏，安娜口中“惨”的呈现显然不达标。第一场动作戏打击感和剪辑效果压根没撮合好，爽度大打折扣。最终反转也缺乏颠覆性，比较反套路的应该是双方没能火拼吧。还有架空历史不彻底引发的科技树bug就不细说了。电影唯一可取的只有超模的颜、子弹穿过消音器悦耳的枪声、肉搏战时不时出现在镜头上的血液效果，一部失败的造星电影。2星。
iriselite,看过,还行,2019-09-13 10:40:50,4,故事胜在意想不到的多次反转，可惜过于冗长，老套的闪回叙事很拖沓乏味，减弱了整体的叙事节奏。果然海伦的演技最赞。打斗戏中规中矩，没很出色，和女模的床戏都没。。。
发条橙,看过,还行,2019-09-10 22:10:23,19,电视电影的廉价感，没那部BP机，真没看出来背景年代设置在美苏冷战时期，大小bug数不清，各种反转比我XX还硬。并且，这就是一部“情色片”啊！这样想的话，它是合格的。吕克·贝松很会选女演员。
木可流芳,看过,还行,2019-09-10 16:16:08,10,海伦奶奶的演技在这部里面都downgraded一个层次了哈哈，典型爆米花片。不要有期待，跟着吕导爽就完事了。plz享受超模。
荔枝超人,看过,很差,2019-10-09 17:10:45,12,吕克贝松还是王晶，傻傻分不清楚。
是蟹,看过,较差,2019-06-23 15:48:24,1,吕克贝松也救不了。仿佛又看了一次红雀……短发女友更是神似John Wick3里面的女配…各种出戏。尽管全程内心“我可以”，剧情仍然很一般，无情两星惹。闪回太多太烦了，毫无叙事的诚意。
纯黑色、独白,看过,推荐,2019-09-13 18:29:04,7,太久没有打斗谍战剧了！！！ 克制 冷静 沉着的全片节奏。但完美的讲了一个环套环的故事！金蝉脱壳 借花献佛和走为上计的完美展现。人人都有她的诉求，人人却都只会索取，留一手总是没错的。电影里的bug用科技巧妙化解带过我觉得没毛病，虽然这部并不是真正意义的谍战片，花拳绣腿和超模换装pl'ay总是值得欣赏的，最爱穿貂皮餐厅那部戏，那叫一个不科学反常规的slay。
柯里昂,看过,推荐,2019-09-10 22:56:37,6,三星半。要不是贡献了两场尚且可看的枪战戏，吕克·贝松这剧本编得确实有让人翻白眼的冲动，其实女特工和双面间谍一类的戏码不值一提，但回想一下，即使算上由男性主导的电影，近年的动作片中也的确少有能让人心悦诚服的作品，而虽然和吕克·贝松主笔的这个迂回却笨拙的故事一样，作为一部动作电影本片也并没有在外观风格上拿出足够的亮点，但整体上来看总归还是拍得流畅，几位主演也都很好地在各自位置上完成了任务，女主表现很飒，不输《碟中谍》系列捧红的丽贝卡·弗格森和凡妮莎·柯比。
that幽幻,看过,还行,2019-09-15 21:08:52,8,6.3 不管kgb还是cia都是英国人演的，难怪被女主玩弄于鼓掌间，都多少年了吕克贝松还在拍这种老掉牙的剧情，还设计了这么多理所当然的反转，只能说太有喜剧趣味了。当然，本身就是奔着女主看的，也的确社保。
恶猫的步调,看过,还行,2019-09-11 15:53:36,6,其实除了之前打着预告片吸引人眼球的餐厅大战戏，太大的看点是没有的……幸亏我还是挺喜欢他的配乐（其中几段）。频繁用了闪回反转结构，但是并没有什么加成，搞得最后有点吕克·贝松女权版肖申克救赎的意思！？（所以硬塞的女朋友T角色到底搞什么！？又没床戏）吕克·贝松对演员过往履历的prodction value真是一如既往着迷，比如海伦·米伦，肯定是要让人跟她《赤焰战场》的退休特工联系上的。吐个槽，标题难道不该是：From Paris With Love。
kylegun,看过,推荐,2019-09-11 00:29:12,5,锅碗瓢盆拆吧台的餐厅杀大赞，克格勃总部脱出也不错，但除了这两场动作戏其他实在太一般了
圣代队长,看过,还行,2019-09-22 00:28:54,0,"立意好，长得美，就是打斗太差，比不上寡姐和朱莉的一个脚趾头。lucy、anna,下一部应该拍Vivian?"
哼哼.floweray,看过,还行,2019-09-12 16:04:25,6,"25年了，其实我更想看到吕克贝松继续玛蒂尔达长大后“继承衣钵”的杀手传奇，更更想看到莱昂鬼使神差的出现。
当然，我也只是想想。"
法兰西胶片,看过,还行,2019-10-01 01:36:25,7,6.5分。当年冼杞然拍《黑猫》照抄《尼基塔》然后找吕克·贝松的发行公司卖版权老吕当时就掀桌了。现在老吕又把这张桌子摆了回去，摆得还挺工整，重新上了漆。
Alan,看过,较差,2019-09-15 08:17:47,7,lol 这个编剧真是胡编乱造异想天开 sasha真是好看 不过这小胳膊小腿怎么看打人都不疼
峰峰峰峰,看过,较差,2019-09-23 23:23:46,1,无脑爽片~
握瑾怀瑜,看过,很差,2019-07-06 04:11:41,4,真的无聊，第一部在电影院看到一半就回家的电影。
苏乏,看过,推荐,2019-10-19 23:29:28,2,相当套路的动作类型片，不过好看，ANNA本身就是高度对称的名字，既是双面间谍的人设，又为多次反转做了相当明确的暗示，叙事借助打乱时间线来安排节奏，为原本或可猜到的结构增加了变量，剪辑点是花了功夫的
思路乐,看过,还行,2019-10-02 10:37:51,3,【B－】算是一部低配女版JOHN WICK，而且无论是视觉设计还是动作拍摄都被JOHN WICK甩了一大截（室内霓虹光效与外景拍摄都不如前者，而动作戏的打击感与写实/写意风格更是被完虐）。不过作为一部特工电影，整体剧本和创意的完成度还是尚可的，女主也实在是养眼，但也仅限于此了。
艾晨,看过,还行,2019-09-14 21:48:31,4,美就完事了！
梦梦,看过,还行,2019-09-22 11:41:40,7,名字带娜的尽量别招惹，安娜汉娜还有娜娜……
七海,看过,还行,2019-09-18 10:29:13,7,名牌超模最佳广告片导演获得者，吕克·贝松！
曾良君,看过,推荐,2019-09-25 03:29:45,7,如果是年轻时的米拉·乔沃维奇来演，就没有任何问题了。
诸葛若见,看过,推荐,2019-09-21 21:42:40,4,如此尤物，才配倾城。剧情如俄罗斯套娃，反转反转再反转，法国人暗喻太有意思，分别吻别美俄两国特工。
陆支羽,看过,还行,2019-09-10 23:04:23,3,2.5。
小唧唧,看过,还行,2019-09-10 23:39:37,11,想玩时间线，却弄巧反拙把故事讲得支离破碎...... 安娜的短发女朋友全片最美有木有！？有木有？！
🤍,看过,还行,2019-09-23 02:34:02,3,手机电脑什么的我都能接受，但设定上实在是有太大的逻辑错误。从影片开头得知1990年安娜去巴黎，但最后档案却显示她1960年生，1985年加入KGB？？所以安娜30岁被星探发现去做模特吗？不说不可能找年龄这么大的新人模特，就是演员本人现在也没到30呀？看起来更不到30！！为什么要设定的这么大？？17岁父母双亡后过了一阵浑浑噩噩的生活，还足够小能达到入伍年龄，再被KGB挖掘训练几年最后去巴黎，设定为1968年左右出生才正常吧！！
