用户,是否看过,评分,评论时间,有用数,评论
白牙尖,看过,还行,2020-02-26 15:17:07,0,没什么特别感触，印象最深的台词是：输不可耻，可耻的是因为怕输而不敢比赛。
岁月何须溪上记,看过,推荐,2019-12-11 07:27:35,2,金发小男孩名叫恩佐，男主说“他让我想起了一个老朋友”。啊，泪奔，为你转世为人的狗狗。The Art of Racing in the Rain 这个片名真好。
浑浑噩噩,看过,力荐,2019-12-28 21:16:48,1,这是一个 男人 老狗 赛车手的故事
给你我最亲爱的,看过,还行,2019-12-22 18:49:05,0,人生太长，狗生太短，真是哭的稀里哗啦，面临不了离别。
WilliamOsborne,看过,还行,2019-11-07 17:09:47,0,7/10，有金毛，有jack，有温情，有法拉利
Valuska,看过,还行,2020-03-09 08:49:29,0,6/10
曳尾于涂,看过,还行,2020-02-28 16:26:03,0,3.75
魂,看过,很差,2019-12-04 15:32:15,1,【D】这份ppt把小时代衬托出电影感。
小悬子,看过,推荐,2019-11-23 11:51:40,0,"2019.11.23
为了Costner大叔下的，没想到他只是给狗狗配音而已。电影还可以，至少狗狗很可爱，人的部分虽然死命煽情，但我其实并不是很有触动，Amanda Seyfried演技真的不错，但我实在不喜欢她的长相，Milo Ventimiglia的长相是我喜欢的类型，但他本人气质过于“冷傲”，既没有亲和力，又没有感染力。"
MY BMM,看过,推荐,2019-11-10 00:47:20,1,十年前看的小说，已经不记得原著剧情，电影里闪回的记忆和转世为人的梗虽然老套，但真的很好哭
与影牵手,看过,推荐,2020-03-08 19:51:11,0,★★★☆关于狗狗的电影总能赚人眼泪。
Sissi,看过,推荐,2019-12-29 16:51:06,0,比起《一条狗的使命》丰富多了，狗和人都有完整且丰富的人生。金毛太可爱太聪明了，什么时候我才能拥有那只我命定的狗狗？男主赛车手的职业，不抓马只是很写实地起起伏伏。女主那么信任支持男主，也是世上最美的爱情了。小女孩居然和狗狗一样可爱。稍微接近反派的女主爸妈也可以理解。
两生花,看过,还行,2020-02-04 16:35:52,0,宠物片在豆瓣自动扣一分以平衡，这片算克制的，没有太大肆煽情，当儿童片看还行，不能期待太高。
慈悲鞋底,看过,推荐,2020-01-31 00:17:12,2,狗眼看，人给牠的启迪
无人应答,看过,还行,2020-02-05 22:42:03,0,我的狗魂还是比猫魂多一些，这么一个朴实的流水账也能感动得掉好几行泪😭 金毛可是汪星人智商排行第四呢，实至名归。
眯着眼的偎灶猫,看过,推荐,2019-12-14 00:13:22,0,凯文的声音。。。真像条老狗啊！阿曼达很棒。
gegemoon,看过,推荐,2019-12-28 22:10:08,0,故事本身不算多新颖，但是刚刚好就是能让你落泪
安托万的黑眼睛,看过,推荐,2019-12-06 23:55:20,0,适合看完这部有趣有泪的电影。电影很不错，但是各方面都用力不够。
cccddw,看过,推荐,2019-12-22 00:24:32,0,表面上是宠物片，实际上说的还是人的悲欢离合。男主太适合演好男人了。
顽童猫,看过,力荐,2020-01-16 22:56:05,0,相当棒的家庭温情式宠物电影。很优秀。
神哥,看过,推荐,2020-01-14 18:25:34,0,借狗之眼，戏看人生
雨夜飞行,看过,推荐,2019-11-02 23:10:17,1,原著是个好故事，电影开头有些过于油腻得让狗狗什么都懂，后边关于执着、把控、冒险和原谅讲得很好。但是把狗狗自己放家里2天不给水不给粮也太不负责任了！
风中奇缘,看过,推荐,2020-03-03 22:42:33,0,谢谢伙计，谢谢你的陪伴
御手洗街,看过,推荐,2019-12-09 16:13:14,0,机上电影的选片基准：要有狗🐶
玉木大河,看过,推荐,2020-01-20 20:04:56,0,看到最后还是忍不住哭了。我虽然知道这种故事就是会故意催泪，可还是没抵挡住…讲述方式还是不错。
